Rep,Dropout-NLL,Dropout-MSE,Ensemble-NLL,Ensemble-MSE,Sigma-NLL,Sigma-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,6.5459614818,84.5450386295,1.6818591651,12.4823546824,13.113066572,3.2636836216,20.225656323,17.1874542696,1.6355693277,10.7990491186
1,2.1641534823,7.1931281515,1.487848216,2.8609061359,1.8949415802,3.7987687508,16.087171246,15.0869746649,1.6696780423,0.9317409075
2,5.2607334967,22.0476200898,1.789520845,1.4790600368,1.8757855283,12.6647195544,14.5526452848,8.5406714078,1.5973838386,0.9402620842
3,15.697397876,101.2613701621,1.060773243,0.8488555348,2.9214915881,42.8649165878,16.5120270157,7.8418209857,1.5158015204,8.0005779479
4,3.9296411178,10.2704063208,2.3866760216,5.2592947859,2.7273953971,24.8148457513,11.4449595118,4.0883797749,1.608251775,4.8855753274
5,5.7844221437,19.9931582623,1.3632937846,1.5895265527,2.0771097069,11.6651647936,25.2027969708,24.5321455656,1.5964768089,7.7680196853
6,2.7074724559,4.0522460874,1.6445277293,3.4443767179,1.9297509391,2.3792793034,15.360575116,7.9037353593,1.7821592007,13.2474562085
7,8.8417541067,50.4421667836,1.3866244631,3.687106654,3.0398795299,14.9071271355,7.4932479295,7.6712461589,1.6247587626,2.6491808359
8,2.7109414451,7.0442074793,1.5210579195,1.6197072816,2.6695338504,12.4553694445,11.8152171331,12.5469309821,1.7379249554,1.594926347
9,3.4137464578,27.7375282612,1.3882420053,4.0018051691,1.744245342,2.1136743635,10.3532091303,5.3535817619,1.6414291966,4.0329483488
10,5.7992140203,9.5680171438,1.5174274905,1.2782005338,2.7342014674,35.7945199651,11.8462404539,7.3891232932,1.4899297017,4.2426432073
11,13.3344283363,70.9823092343,1.82857331,21.9910941669,2.6871918205,29.8835879147,9.1999677166,9.3674317476,1.6359721574,1.3244030203
12,3.9802051947,55.7562962758,1.6383050013,2.1593142559,1.8704152168,9.4600373883,6.583012767,6.9055212802,2.0386792744,9.3686077139
13,3.6943740868,34.2811604475,2.3015275351,1.9854467137,2.7958571395,14.2561228639,6.6029415008,5.9427611371,1.640677393,1.1126355567
14,3.6377960108,0.7147935558,1.6894638994,4.7091673876,1.9570295707,10.4799188977,53.41077125,29.6136607081,1.7037182663,4.3619557793
15,12.7165247073,279.2058615253,1.7329991101,3.7944330595,3.0589932923,6.7818872425,5.4114439629,4.1369391014,1.5611936844,0.7638757287
16,2.9118301771,6.664028942,1.460430941,9.510975959,2.4467558779,27.0394850112,20.579004538,7.4101934776,1.483224012,2.7636691297
17,5.4493775702,57.605117997,1.3838829255,2.3748829015,2.616564965,35.4199729948,16.9310235789,4.1731722707,1.5567399093,2.0687281637
18,9.8948657334,34.0836949981,1.3148322867,2.0024452134,2.9678664285,15.8809783258,34.3323415502,9.2409153251,1.6877695761,8.3653253913
19,6.789946329,99.0128245567,2.3407075551,1.7358454082,3.1814355715,17.2313575146,20.9873541313,10.8544592299,1.5245471861,3.579408666
20,2.0573465581,1.9247047763,1.6986146997,2.5737094012,2.0497884016,2.2557977333,13.7085180896,12.1119919677,1.5602179684,2.5577050475
21,1.9471228686,1.7332629259,1.2681886807,1.7877016059,4.4003058938,30.6885566248,21.3171524685,8.9113047649,1.3685470646,1.2037418555
22,2.565419362,31.1680613371,1.7120433141,1.9557964618,3.4316617135,9.3979774103,8.5907301524,14.8544931244,1.6388115029,8.5588006995
23,10.9407540236,79.0475771644,1.6862940612,7.1696628292,2.4628562779,14.7781059937,40.9988848242,32.7513239089,1.6917133586,6.8036403864
24,5.9912751212,75.2245946468,1.2512320731,1.5836127515,2.8865994666,6.3800835453,24.7992757973,9.3117605178,1.6519136688,1.070503544
25,4.0085880082,66.0254818493,1.5301236846,1.9900833926,2.8518233839,2.9654687816,7.0532885606,4.9876706219,1.4824209159,4.2343650757
26,4.1349347182,134.0254713282,1.3528338121,2.4517326925,3.8689100923,46.3084672318,30.7127450135,11.9536845581,1.8222482627,10.8803992651
27,4.0914355057,72.0195998019,1.6294763531,1.8794688292,2.03004805,4.5788475413,33.3844781369,8.8535995631,1.5457437491,0.9676450056
28,4.5731015996,24.8715503845,1.347395231,1.7719548844,2.2771400485,28.4874382953,8.1503933016,2.149312959,1.9452995979,13.6732743411
29,21.0677762872,74.1130295856,1.6410850721,3.8192718698,3.1893951004,13.0987562109,57.2755291134,8.1299401899,1.6887554778,8.0109501908
30,2.8374697748,14.2547503847,1.4698453603,1.9738784839,2.6077437198,21.7342464571,24.4987894808,8.2442518543,1.4883570604,1.6974867507
31,5.8689344791,49.1601811487,1.7811937963,9.1335835291,2.6289172812,11.6832870559,9.1793648509,20.8528031414,1.8202826737,10.2447402461
32,5.7817833621,77.2026746486,1.9100050319,6.9634096451,2.9903142026,16.207927799,10.6744843599,18.3549171714,1.9142876313,10.0797270623
33,7.1624282075,35.850669212,1.617259753,9.1083807353,2.9169654457,1.1187706266,15.0733335747,21.2353888491,1.8291840064,6.1532636288
34,3.1555399223,54.0346997432,1.5383248192,1.8705437191,2.0623994491,10.1538668702,9.9017120616,10.7685685019,1.7101650733,2.3434546216
35,13.2033668628,38.2959200889,2.6732687007,1.4355591977,2.7582656433,42.8049006155,6.5354601238,12.1605495933,1.7211021468,0.9786636162
36,3.8031608805,27.110069086,1.6477697776,2.692332022,2.4531596213,25.8677042529,8.5423615159,4.2517475761,1.6379535541,5.2151819801
37,4.0201742021,105.2753478453,1.7149873327,2.1137436409,1.98441571,17.1442726169,10.0960308855,12.4339859852,1.6182135765,1.8627800186
38,5.6589451081,126.1536157607,1.6809593915,5.0200832198,3.2386100605,24.1950603376,12.0814881367,29.1803270069,1.4045407405,1.0548459599
39,3.2790028043,77.4428481299,1.6391228864,4.8223722938,2.2231313542,21.2129629658,8.1670348106,6.9983724355,1.4510051195,1.7791203267
40,4.0753608758,7.0030519396,1.386143104,2.4020986005,2.1090348081,12.8194415902,8.6573240545,3.6694401472,1.5246778594,0.8782120282
41,3.8830090161,143.3480431306,2.0519813419,4.1190325264,2.0629384055,3.4072311521,49.2512150776,14.5254216538,1.5753163888,6.7744576949
42,9.410562895,32.2921340299,2.4578416684,2.7191658265,2.8170208424,14.5218265817,24.5964390241,10.6713854188,2.097564213,16.9446652407
43,2.8685897175,3.6170536465,1.63720755,3.9524975438,2.5020085238,22.0569137343,11.9574800171,10.9229002398,1.6281079577,4.432927023
44,3.6784180813,22.9060939065,2.004805089,4.9390613919,2.0335643947,7.746801462,30.8303585402,18.7951169325,1.6876088249,5.6942412684
45,36.2800474486,43.0301379967,1.3616867793,3.9931002895,3.0175119799,28.7373530554,24.5055231886,14.9468757562,1.5554488488,5.0686664557
46,28.5625192759,92.9297197508,1.2397303041,1.2834674892,2.0287644327,4.3293826759,69.0329871624,11.7040612518,1.6306151871,1.3735334359
47,1.7006163488,2.43031227,1.5676174381,5.7262032718,2.4809401674,5.979155786,11.2368064697,9.2512215328,1.7083170545,0.7954186962
48,4.6070894518,103.2432616752,1.7865908854,2.1314251178,1.5322286383,1.2250363077,21.5626856771,8.181636055,1.6118870168,5.4067442338
49,3.2008580479,23.5455988911,1.9984446185,1.5646276452,4.0378050871,17.7744904249,17.6402011109,4.5787539542,1.5640353304,5.364986311
50,6.3914542271,58.5918790854,1.207597506,0.9650379699,4.2503172744,8.6031146656,14.3549353942,13.4967425352,1.5934464315,5.6883348544
51,19.492806694,1.3038350671,1.3825193094,5.3363185627,1.9792904286,4.5068478766,9.6552878445,3.513540049,1.5294841345,1.1999558111
52,4.0109489123,41.2223461167,1.4767075797,1.6678590175,1.7589217087,2.4074137182,7.2262697936,3.7438409847,1.4941674691,3.952032203
53,2.5833514855,12.6169788265,1.2985109496,2.0669097629,2.2509007663,6.7512542684,12.1247257495,13.7863754383,1.5891954566,0.8310873807
54,6.5586652728,22.7199608838,1.608457047,1.4629948117,1.9347481549,1.4070620412,15.8919881518,4.7091723678,1.6504162699,3.6395800118
55,6.6981581943,43.766120625,1.3312080429,2.3104646502,3.2616362891,14.959855027,11.4437355363,7.8835427793,1.807686665,2.0953867642
56,6.3625395042,101.9230126359,1.2412265593,1.7830691545,5.0635950526,5.8082221606,8.4958418916,7.4703942132,1.641897125,2.6339196713
57,13.4466955995,21.751934793,2.0384306371,3.9476144438,1.7661179114,2.5597469485,6.7496662621,5.4740310565,1.3828184152,4.8960895813
58,11.7276225055,2.4459816483,1.8307814665,11.8954514537,4.1118348989,9.8395608745,40.6809556537,16.9218381874,1.6909110472,4.99223107
59,5.9295703779,101.8685888109,1.6300360623,2.1823452683,2.6974334182,33.5662369473,29.3008241898,14.6587980978,1.6789476243,1.1803661975
60,4.3080334281,58.4126131546,1.5558537571,9.9183363495,2.0426300197,14.6095026869,7.4746915408,18.0724067926,1.8500069161,1.6843787135
61,5.9255261579,1.9953626716,1.6820778665,1.7966432618,2.1429664828,3.461000398,14.5256278773,5.8184208627,1.7141013566,6.0801076301
62,15.4298370877,89.1559469269,1.3145632161,1.6453129425,3.0041599347,2.6177690968,13.4514828753,4.7578846235,1.7649455782,11.1929637221
63,2.1948750013,2.9610660237,1.4427918479,1.9300767923,2.2956740667,0.9373316207,29.9372197318,12.9252817605,1.5461375098,0.8616910132
64,7.6617856227,99.8402090684,1.4797253119,1.2655405009,3.6997556867,19.5784477558,15.5225264436,13.3292626225,1.5392401734,4.0904802305
65,4.1560415916,29.6104947277,1.7850963186,2.0951574921,3.3212781968,24.0563095811,8.0559460978,13.7270264684,1.5792775281,2.0791308898
66,5.2185504574,1.0491134162,1.5358033592,10.8859898479,13.6625657083,1.7947702442,8.9298372111,6.2005367405,1.6382825653,5.6473324354
67,10.3608248538,82.3332629898,1.3665507822,1.5672083142,2.5754094822,21.438213093,8.742169757,8.0945882036,1.3886267065,0.7547481511
68,2.6758705248,4.2194472746,1.3827258198,1.7571530114,4.1402738496,2.007773596,31.6099637923,16.127289034,1.6185445112,4.5413429129
69,20.0136038157,1.0671322593,1.2183600621,1.396435441,2.8864985813,10.0130822397,9.8822765243,7.2346128229,1.7246445108,3.9506085994
70,11.2923655263,79.4864764303,2.0012298225,3.0193137808,3.8172815172,14.1597892468,22.5813724421,10.6238987369,1.8791039129,2.2413001489
71,3.038491763,30.9204376644,1.4084540184,0.8855902019,4.0943481643,14.8369338569,8.2726678574,3.7978088481,1.6817573628,11.6351612079
72,2.7797171495,16.1587731087,1.3526101572,1.6534235292,2.2470943513,24.7608024134,11.5889135374,5.5898225395,1.4934189933,2.9929745587
73,3.5819314741,4.3037089169,1.7519249293,6.7295854183,2.3505420951,8.6197606494,7.4206244875,8.2219963066,1.6731676079,6.7000546685
74,10.4863305952,66.8152533746,1.2963625259,1.5220617895,2.4704129614,3.8008813566,9.8800133277,3.5036984533,1.5463132589,1.1570768832
75,5.6530973364,40.6444886715,1.464384175,2.4312224045,1.87263032,6.5095600778,23.580429444,25.7046904231,1.8540943361,19.6519844683
76,7.0690385407,114.8838397567,1.6539490019,3.0643321844,2.179811408,14.6078739964,6.2301945613,24.5184132978,1.8486215818,8.8281086226
77,7.2416201909,78.2541646248,1.523051763,1.1713291822,3.9502280926,8.1035923494,8.3821675845,7.2272595914,1.7613044728,11.3738696624
78,3.8041041457,52.6869062487,2.6877150368,1.682082878,3.6486913761,28.1117074755,17.1651415067,8.5289248604,1.5042244826,5.6744207052
79,14.9961493211,142.2509219788,1.4978015061,3.1243273494,4.0887981224,23.9902362128,11.1367977661,20.547821898,1.6918492726,3.3826585316
80,2.9921757238,0.7991925953,1.5901029279,6.6671153255,1.6345766426,5.1145170873,7.1926397564,9.7241216877,1.8353913179,19.3967243125
81,3.2157115696,10.6227280502,1.5389812411,2.2613864802,2.2555036398,17.6754887778,71.1811595634,14.9083169326,1.8842940819,10.4408973983
82,6.9935855306,83.069710322,2.0086711063,4.288568017,3.4097964752,27.0567675834,39.7842315182,10.3551170717,1.8134245527,3.9237481952
83,8.6910629976,33.4549538941,1.7423876781,5.6586157851,1.7396362189,5.0035826055,17.6696921664,9.630991477,1.5721993552,1.0996057578
84,20.3143344497,99.7574172592,1.3369835617,2.9896107784,3.9963635555,2.2986514332,22.0207885361,16.1138122654,1.795845742,7.1181776266
85,3.5986129173,22.5915499856,1.5352752524,4.7896935621,2.5817331414,36.3816236595,35.2872029924,15.1573529738,1.5702602211,1.1286613481
86,2.6441378178,7.3826081437,1.5083491732,7.5510200539,2.5983483544,7.6933492771,28.7529860584,11.9342751891,1.6593197072,9.3985546177
87,21.1344638059,70.5725484851,1.3352289062,1.5193268072,2.3114311797,22.8473019069,6.0488925666,12.1195861124,1.5940926667,2.7066991191
88,4.2008245591,39.9885448536,1.6617593416,8.8523953377,1.6990600278,1.7306578,41.1968714309,17.661528186,1.703150621,5.4720108924
89,4.4271481219,29.7955089145,1.4582152762,1.8048952575,1.7389431968,2.1426770057,23.3143286903,7.0046823681,1.5859474934,3.8341433378
90,2.3245539399,1.5879073764,1.3279667608,2.3261600059,1.6979014764,2.9553970991,13.9477653447,12.0963325443,1.6194914996,7.2902135943
91,6.53160494,51.2420178775,1.8822136758,29.9589774134,3.6068288687,6.6934444913,5.899080708,17.540919433,1.6799117162,12.6690259277
92,8.6416250462,119.1297391842,1.6737477736,2.9506150786,3.3875953909,10.7651103813,16.0886934805,7.5054735851,1.6577959424,5.931091775
93,15.6042521241,13.0463822745,1.3343667183,1.3297843532,1.8589917912,5.0772789234,13.9078432377,8.0835370829,1.6044765935,3.3969386559
94,8.7422581289,82.2807111357,1.3832770785,3.4057528585,2.1509780636,17.1173333178,102.8903748928,10.4873354465,1.4597341698,3.3571814998
95,4.9318843951,43.5816844843,1.5297071787,5.9506167868,3.2892681779,42.0034662077,7.4189555565,7.4353488132,1.6260752599,3.5888933001
96,15.9778259465,1.0677455355,1.4695622591,1.5184335174,2.0345315899,13.6936532235,74.9152264844,11.1383927904,1.8398487971,8.8014208149
97,3.6567275669,55.302320479,1.2920114309,1.6712225075,2.7989353029,10.149595219,8.7157961138,6.9275263497,1.6197730095,1.1441612931
98,11.4963400766,84.6536950681,1.2544536481,1.7872592832,2.0917383494,5.2296387944,31.5753866654,8.4027109338,1.5881602343,2.2758811009
99,17.0680314448,122.0328173954,1.5132552244,1.667973006,3.026852344,37.2071449497,38.7925692939,17.4732398418,1.6214380349,7.8037140006
