Rep,Ensemble-NLL,Ensemble-MSE,HydraNet-NLL,HydraNet-MSE,HydraNet-Sigma-NLL,HydraNet-Sigma-MSE
0,1.7344814650587776,3.7692266287968352,9.053508365946891,6.738485514509521,1.5893434428568338,1.0908266723176905
1,1.4506417308632213,2.0596618359939574,10.14704326456748,10.650514503404844,1.7085177300538896,4.168451883183726
2,1.1384718323404692,1.1901162349000745,10.319766942264199,6.5992543538847075,1.8536144906709415,19.195262687338012
3,1.405058921008488,5.167371561793386,28.56356001686471,9.393807559000516,1.8819993007123363,25.18354433019509
4,1.83591288558834,1.7979800397150163,73.30777107627497,22.45599224111379,1.701011150461305,10.36337323502804
5,1.259807000961598,1.1990860358495679,9.74946976970394,4.984114838907221,1.7096137918759533,2.9239645524449354
6,1.6083290939427184,5.2306022395288885,5.195835750671785,4.658799465632574,1.5817805984254085,0.8112439423829617
7,1.4268673356176425,2.2238339490354466,41.624805096588204,12.957447962648017,1.7941141119690127,2.993992168641817
8,2.0199426929394546,1.8433299930799325,24.85451558019916,5.277506431059295,1.6662445778850021,7.393034558031706
9,1.1376146156286036,1.2644206971301952,9.570140380898819,12.063077596096013,1.6036633635290405,3.6285201329559826
10,1.7027665159202388,12.143872230692278,13.347253916424611,12.480805531661252,1.8039628600223707,10.155857460556456
11,1.1831642815312444,1.9279948004641025,10.636366344032036,3.3897521972968936,1.7170701641418953,4.387361039822506
12,1.2996841009379063,2.7024698377649474,6.964088520006553,6.762906255531475,1.6227990847477671,0.8346383808810748
13,1.5643948592827939,2.6721129920363427,37.88466545905143,9.739538322725808,1.6930826362861089,7.64048619838326
14,1.8633878248534925,1.1361250087829355,17.719256254708263,8.265881236458307,1.7877309049145307,1.4723483669007025
15,1.2863851030372189,2.300203176465248,86.90630330303975,22.995889281601976,1.8200796071108536,18.6067402939567
16,1.457735826557235,1.1029335940333238,73.22563083742644,13.97165572185105,1.752529957463882,9.628004355577898
17,1.4397570409932854,5.7566561172702,6.989335734545801,21.535118415927528,1.7225937717431676,4.449310456476988
18,1.2173104061205675,1.4018709315451792,5.018273997016842,8.706427100252409,1.7038833379174272,5.442308003458996
19,1.5790277488642699,2.377461263050164,11.611556676785053,8.17727830689442,1.8333240221122002,17.261847134439073
20,2.339061866881232,2.6307196110355004,15.306872689963804,29.227000688736013,1.705704610022101,5.110586088724758
21,1.35155538796512,1.4318208604347913,7.504526463446821,2.947656460860433,1.4557146739110807,3.6479285942692083
22,1.878080830770022,2.3603777021834182,11.137343333101393,5.676588264165361,1.5648862487355177,1.5945088415333266
23,1.4981234974611655,7.004982496997157,12.18813818406929,7.463871762380907,1.6063661811695586,1.0947592234492678
24,1.5991346299605107,8.780437757256324,4.652769284985596,16.563558965730497,1.6387750239647119,7.5000868732494475
